wName2,wTrueRank2,wEstRank2,wTrueBin2,wEstBin2
1694,1032,1311,2,3
1695,1033,674,2,2
1697,1034,1067,2,2
1698,1035,1104,2,2
1699,1036,224,2,1
1700,1037,1252,2,3
1701,1038,1105,2,2
1702,1039,972,2,2
1703,1040,767,2,2
1705,1041,1312,2,3
1706,1042,1193,2,2
1710,1043,1365,2,3
1711,1044,945,2,2
1713,1045,946,2,2
1714,1046,1253,2,3
1715,1047,700,2,2
1718,1048,997,2,2
1719,1049,770,2,2
1721,1050,1254,2,3
1724,1051,953,2,2
1729,1052,1093,2,2
1730,1053,135,2,1
1731,1054,1042,2,2
1734,1055,756,2,2
1736,1056,727,2,2
1737,1057,385,2,1
1739,1058,626,2,2
1741,1059,613,2,2
1742,1060,920,2,2
1743,1061,1211,2,3
1744,1062,1201,2,3
1745,1063,809,2,2
1746,1064,1331,2,3
1750,1065,799,2,2
1754,1066,585,2,1
1755,1067,1286,2,3
1756,1068,933,2,2
1759,1069,921,2,2
1760,1070,760,2,2
1761,1071,962,2,2
1762,1072,432,2,1
1763,1073,1141,2,2
1765,1074,998,2,2
1766,1075,286,2,1
1767,1076,1174,2,2
1768,1077,610,2,2
1771,1078,693,2,2
1772,1079,308,2,1
1773,1080,784,2,2
1774,1081,461,2,1
1775,1082,1079,2,2
1777,1083,1055,2,2
1778,1084,247,2,1
1785,1085,1084,2,2
1786,1086,586,2,1
1787,1087,701,2,2
1788,1088,738,2,2
1789,1089,611,2,2
1790,1090,1255,2,3
1791,1091,777,2,2
1792,1092,566,2,1
1793,1093,371,2,1
1796,1094,458,2,1
1798,1095,1106,2,2
1799,1096,705,2,2
1800,1097,1256,2,3
1803,1098,539,2,1
1805,1099,753,2,2
1806,1100,999,2,2
1807,1101,682,2,2
1809,1102,930,2,2
1811,1103,942,2,2
1812,1104,145,2,1
1813,1105,1257,2,3
1814,1106,1196,2,2
1816,1107,204,2,1
1817,1108,1354,2,3
1818,1109,928,2,2
1819,1110,1313,2,3
1820,1111,803,2,2
1824,1112,390,2,1
1826,1113,1366,2,3
1827,1114,1085,2,2
1828,1115,707,2,2
1830,1116,800,2,2
1832,1117,1184,2,2
1833,1118,1314,2,3
1834,1119,513,2,1
1835,1120,388,2,1
1837,1121,1258,2,3
1838,1122,1260,2,3
1844,1123,1315,2,3
1845,1124,581,2,1
1847,1125,1135,2,2
1849,1126,1214,2,3
1850,1127,731,2,2
1851,1128,965,2,2
1855,1129,1098,2,2
1856,1130,615,2,2
1857,1131,1316,2,3
1858,1132,721,2,2
1859,1133,624,2,2
1860,1134,785,2,2
1862,1135,63,2,1
1863,1136,1338,2,3
1864,1137,1056,2,2
1866,1138,1351,2,3
1867,1139,766,2,2
1868,1140,1204,2,3
1869,1141,203,2,1
1870,1142,1262,2,3
1871,1143,918,2,2
1872,1144,788,2,2
1873,1145,1008,2,2
1875,1146,783,2,2
1876,1147,1326,2,3
1878,1148,963,2,2
1880,1149,1264,2,3
1881,1150,1074,2,2
1882,1151,1333,2,3
1883,1152,725,2,2
1885,1153,218,2,1
1888,1154,1000,2,2
1889,1155,502,2,1
1891,1156,454,2,1
1892,1157,1161,2,2
1894,1158,1099,2,2
1895,1159,1110,2,2
1896,1160,662,2,2
1898,1161,801,2,2
1901,1162,570,2,1
1903,1163,694,2,2
1904,1164,1202,2,3
1905,1165,1265,2,3
1906,1166,484,2,1
1908,1167,1207,2,3
1910,1168,1100,2,2
1912,1169,1001,2,2
1913,1170,1345,2,3
1914,1171,1060,2,2
1918,1172,1287,2,3
1919,1173,1339,2,3
1921,1174,1107,2,2
1923,1175,967,2,2
1924,1176,121,2,1
1926,1177,951,2,2
1928,1178,1317,2,3
1929,1179,684,2,2
1930,1180,764,2,2
1931,1181,802,2,2
1933,1182,910,2,2
1935,1183,1321,2,3
1936,1184,1005,2,2
1942,1185,1340,2,3
1943,1186,1002,2,2
1944,1187,248,2,1
1946,1188,427,2,1
1948,1189,590,2,1
1949,1190,90,2,1
1950,1191,1047,2,2
1951,1192,1086,2,2
1952,1193,678,2,2
1953,1194,1268,2,3
1955,1195,1212,2,3
1956,1196,1142,2,2
1957,1197,773,2,2
1958,1198,562,2,1
1959,1199,927,2,2
1960,1200,1327,2,3
1961,1201,1150,3,2
1962,1202,1512,3,3
1963,1203,1784,3,3
1964,1204,1111,3,2
1965,1205,1623,3,3
1966,1206,1609,3,3
1970,1207,758,3,2
1971,1208,1553,3,3
1972,1209,683,3,2
1973,1210,907,3,2
1974,1211,1684,3,3
1977,1212,1716,3,3
1978,1213,1807,3,4
1980,1214,1808,3,4
1984,1215,1408,3,3
1985,1216,1054,3,2
1986,1217,1589,3,3
1987,1218,1721,3,3
1991,1219,1444,3,3
1994,1220,1797,3,3
1995,1221,1263,3,3
1997,1222,702,3,2
1998,1223,1554,3,3
1999,1224,1572,3,3
2002,1225,1629,3,3
2003,1226,1809,3,4
2007,1227,1171,3,2
2008,1228,1791,3,3
2009,1229,1024,3,2
2010,1230,578,3,1
2014,1231,1532,3,3
2015,1232,1437,3,3
2017,1233,1590,3,3
2019,1234,1761,3,3
2020,1235,1134,3,2
2021,1236,1722,3,3
2022,1237,1181,3,2
2024,1238,1555,3,3
2025,1239,1400,3,3
2026,1240,1482,3,3
2028,1241,1810,3,4
2029,1242,446,3,1
2031,1243,1179,3,2
2033,1244,1015,3,2
2034,1245,1044,3,2
2035,1246,1637,3,3
2039,1247,1455,3,3
2040,1248,1551,3,3
2041,1249,1386,3,3
2043,1250,1046,3,2
2044,1251,1016,3,2
2045,1252,1190,3,2
2046,1253,1811,3,4
2048,1254,1812,3,4
2049,1255,1668,3,3
2050,1256,1618,3,3
2052,1257,1270,3,3
